1;1;1;0;1;0000-00-00;0000-00-00;0000-00-00
2;2;1;0;1;0000-00-00;0000-00-00;0000-00-00
3;3;1;0;1;0000-00-00;0000-00-00;0000-00-00
4;4;1;0;1;0000-00-00;0000-00-00;0000-00-00
5;5;1;0;1;0000-00-00;0000-00-00;0000-00-00
6;6;1;0;1;0000-00-00;0000-00-00;0000-00-00
7;7;1;0;1;0000-00-00;0000-00-00;0000-00-00
8;8;1;0;1;0000-00-00;0000-00-00;0000-00-00
9;9;1;0;1;0000-00-00;0000-00-00;0000-00-00
10;10;1;0;1;0000-00-00;0000-00-00;0000-00-00
11;11;1;0;1;0000-00-00;0000-00-00;0000-00-00
12;12;1;0;1;0000-00-00;0000-00-00;0000-00-00
13;13;1;0;1;0000-00-00;0000-00-00;0000-00-00
14;14;1;0;1;0000-00-00;0000-00-00;0000-00-00
15;15;1;0;1;0000-00-00;0000-00-00;0000-00-00
16;16;1;0;1;0000-00-00;0000-00-00;0000-00-00
17;17;1;0;1;0000-00-00;0000-00-00;0000-00-00
18;18;1;0;1;0000-00-00;0000-00-00;0000-00-00
19;19;1;0;1;0000-00-00;0000-00-00;0000-00-00
20;20;1;0;1;0000-00-00;0000-00-00;0000-00-00
21;21;1;0;1;0000-00-00;0000-00-00;0000-00-00
22;22;1;0;1;0000-00-00;0000-00-00;0000-00-00
23;23;1;0;1;0000-00-00;0000-00-00;0000-00-00
24;24;1;0;1;0000-00-00;0000-00-00;0000-00-00
25;25;1;0;1;0000-00-00;0000-00-00;0000-00-00
26;26;1;0;1;0000-00-00;0000-00-00;0000-00-00
27;27;1;0;1;0000-00-00;0000-00-00;0000-00-00
28;28;1;0;1;0000-00-00;0000-00-00;0000-00-00
29;29;1;0;1;0000-00-00;0000-00-00;0000-00-00
30;30;1;0;1;0000-00-00;0000-00-00;0000-00-00
31;31;1;0;1;0000-00-00;0000-00-00;0000-00-00
32;32;1;0;1;0000-00-00;0000-00-00;0000-00-00
33;33;1;0;1;0000-00-00;0000-00-00;0000-00-00
34;34;1;0;1;0000-00-00;0000-00-00;0000-00-00
35;35;1;0;1;0000-00-00;0000-00-00;0000-00-00
36;36;1;0;1;0000-00-00;0000-00-00;0000-00-00
37;37;1;0;1;0000-00-00;0000-00-00;0000-00-00
38;38;1;0;1;0000-00-00;0000-00-00;0000-00-00
39;39;1;0;1;0000-00-00;0000-00-00;0000-00-00
40;40;1;0;1;0000-00-00;0000-00-00;0000-00-00
41;41;1;0;1;0000-00-00;0000-00-00;0000-00-00
42;42;1;0;1;0000-00-00;0000-00-00;0000-00-00
43;43;1;0;1;0000-00-00;0000-00-00;0000-00-00
44;44;1;0;1;0000-00-00;0000-00-00;0000-00-00
45;45;1;0;1;0000-00-00;0000-00-00;0000-00-00
46;46;1;0;1;0000-00-00;0000-00-00;0000-00-00
47;47;1;0;1;0000-00-00;0000-00-00;0000-00-00
48;48;1;0;1;0000-00-00;0000-00-00;0000-00-00
49;49;1;0;1;0000-00-00;0000-00-00;0000-00-00
50;50;1;0;1;0000-00-00;0000-00-00;0000-00-00
51;51;1;0;1;0000-00-00;0000-00-00;0000-00-00
52;52;1;0;1;0000-00-00;0000-00-00;0000-00-00
53;53;1;0;1;0000-00-00;0000-00-00;0000-00-00
54;54;1;0;1;0000-00-00;0000-00-00;0000-00-00
55;55;1;0;1;0000-00-00;0000-00-00;0000-00-00
56;56;1;0;1;0000-00-00;0000-00-00;0000-00-00
57;57;1;0;1;0000-00-00;0000-00-00;0000-00-00
58;58;1;0;1;0000-00-00;0000-00-00;0000-00-00
59;59;1;0;1;0000-00-00;0000-00-00;0000-00-00
60;60;1;0;1;0000-00-00;0000-00-00;0000-00-00
61;61;1;0;1;0000-00-00;0000-00-00;0000-00-00
62;62;1;0;1;0000-00-00;0000-00-00;0000-00-00
63;63;1;0;1;0000-00-00;0000-00-00;0000-00-00
64;64;1;0;1;0000-00-00;0000-00-00;0000-00-00
65;65;1;0;1;0000-00-00;0000-00-00;0000-00-00
66;66;1;0;1;0000-00-00;0000-00-00;0000-00-00
67;67;1;0;1;0000-00-00;0000-00-00;0000-00-00
68;68;1;0;1;0000-00-00;0000-00-00;0000-00-00
69;69;1;0;1;0000-00-00;0000-00-00;0000-00-00
70;70;1;0;1;0000-00-00;0000-00-00;0000-00-00
71;71;1;0;1;0000-00-00;0000-00-00;0000-00-00
72;72;1;0;1;0000-00-00;0000-00-00;0000-00-00
73;73;1;0;1;0000-00-00;0000-00-00;0000-00-00
74;74;1;0;1;0000-00-00;0000-00-00;0000-00-00
75;75;1;0;1;0000-00-00;0000-00-00;0000-00-00
76;76;1;0;1;0000-00-00;0000-00-00;0000-00-00
77;77;1;0;1;0000-00-00;0000-00-00;0000-00-00
78;78;1;0;1;0000-00-00;0000-00-00;0000-00-00
79;79;1;0;1;0000-00-00;0000-00-00;0000-00-00
80;80;1;0;1;0000-00-00;0000-00-00;0000-00-00
81;81;1;0;1;0000-00-00;0000-00-00;0000-00-00
82;82;1;0;1;0000-00-00;0000-00-00;0000-00-00
83;83;1;0;1;0000-00-00;0000-00-00;0000-00-00
84;84;1;0;1;0000-00-00;0000-00-00;0000-00-00
85;85;1;0;1;0000-00-00;0000-00-00;0000-00-00
86;86;1;0;1;0000-00-00;0000-00-00;0000-00-00
87;87;1;0;1;0000-00-00;0000-00-00;0000-00-00
